symbol,interval,ts,open,high,low,close,volume,created_at,updated_at
BTC-USD,1h,2025-11-10 06:00:00.000000 +00:00,106079.6400000000,106297.4600000000,105938.6700000000,106200.7900000000,107.1125298600,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 07:00:00.000000 +00:00,106200.7900000000,106521.0200000000,106136.8600000000,106435.9800000000,157.8192273400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 08:00:00.000000 +00:00,106435.9800000000,106546.0300000000,105883.4900000000,105947.2900000000,253.2578125400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 09:00:00.000000 +00:00,105947.2800000000,106599.0000000000,105825.0000000000,106432.1000000000,240.3974718600,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 10:00:00.000000 +00:00,106432.1000000000,106453.7600000000,105936.7800000000,105976.3400000000,91.4822033700,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 11:00:00.000000 +00:00,105976.3300000000,106309.2700000000,105924.7200000000,106159.5800000000,70.3320913700,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 12:00:00.000000 +00:00,106159.5700000000,106207.7900000000,105858.0000000000,105922.5900000000,614.5147353800,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 13:00:00.000000 +00:00,105922.5900000000,106575.0500000000,105900.0000000000,106519.9900000000,305.5585986800,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 14:00:00.000000 +00:00,106519.9900000000,106519.9900000000,104627.4900000000,104863.7000000000,786.1606622000,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 15:00:00.000000 +00:00,104852.0600000000,105600.5300000000,104634.8300000000,105051.6300000000,563.8586254300,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 16:00:00.000000 +00:00,105050.6500000000,105349.9400000000,104753.9700000000,105196.1700000000,409.7243331200,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 17:00:00.000000 +00:00,105193.6900000000,105956.9100000000,105138.3900000000,105924.0100000000,314.8808609000,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 18:00:00.000000 +00:00,105924.0100000000,106048.0000000000,105434.0000000000,105440.7600000000,226.4028483000,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 19:00:00.000000 +00:00,105440.7600000000,106023.8000000000,105362.3000000000,105797.9800000000,336.4652682400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 20:00:00.000000 +00:00,105797.9800000000,106261.9100000000,105775.7000000000,105985.9400000000,313.1898780100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 21:00:00.000000 +00:00,105979.4500000000,105998.9200000000,105222.6600000000,105598.2500000000,312.2333332600,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 22:00:00.000000 +00:00,105598.2300000000,106105.4600000000,105336.0000000000,106027.5600000000,145.6485463000,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 23:00:00.000000 +00:00,106027.5600000000,106244.7200000000,105847.1700000000,105979.3800000000,182.5811091000,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 00:00:00.000000 +00:00,105979.3800000000,106119.2900000000,105464.3400000000,106109.2800000000,175.4100617500,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 01:00:00.000000 +00:00,106109.2800000000,107482.0000000000,105989.7200000000,106067.2900000000,580.1467326200,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 02:00:00.000000 +00:00,106070.4900000000,107104.7300000000,105558.5500000000,106614.1900000000,415.9772676900,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 03:00:00.000000 +00:00,106614.0100000000,107069.0600000000,106329.6100000000,106429.9900000000,262.8050420000,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 04:00:00.000000 +00:00,106429.9900000000,106523.6400000000,105674.6700000000,105717.5100000000,220.9340591100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 05:00:00.000000 +00:00,105721.6600000000,105731.0000000000,105125.5300000000,105222.0100000000,208.2713869900,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 06:00:00.000000 +00:00,105222.0200000000,105318.2800000000,104851.0100000000,105227.9500000000,256.1974272700,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 07:00:00.000000 +00:00,105222.8700000000,105305.2500000000,104709.9200000000,104757.6500000000,134.8845816100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 08:00:00.000000 +00:00,104763.2000000000,105244.0300000000,104734.8400000000,105129.4400000000,110.8793514800,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 09:00:00.000000 +00:00,105137.8200000000,105468.0400000000,104892.4400000000,104957.1100000000,123.9532453200,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 10:00:00.000000 +00:00,104957.1000000000,105224.0000000000,104883.0200000000,105160.6000000000,95.7719719300,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 11:00:00.000000 +00:00,105160.6100000000,105493.5000000000,105114.2300000000,105298.4700000000,96.8080750600,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 12:00:00.000000 +00:00,105300.3700000000,105504.8300000000,104377.3100000000,104535.9800000000,342.7256990700,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 13:00:00.000000 +00:00,104534.0100000000,104704.8700000000,104202.0300000000,104388.3200000000,351.7896807400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 14:00:00.000000 +00:00,104388.3300000000,104654.6000000000,103800.0000000000,104550.5900000000,307.2951182700,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 15:00:00.000000 +00:00,104550.5900000000,104550.5900000000,103164.0100000000,103447.7600000000,386.2122328000,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 16:00:00.000000 +00:00,103447.7600000000,103718.6600000000,103186.7800000000,103390.2500000000,266.3186496900,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 17:00:00.000000 +00:00,103388.7100000000,103613.8100000000,102805.2800000000,103305.9100000000,709.7357234100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 18:00:00.000000 +00:00,103305.9000000000,103538.6600000000,103031.1100000000,103375.0800000000,247.4693571500,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 19:00:00.000000 +00:00,103370.0300000000,103433.6500000000,102814.8600000000,103105.7000000000,254.8603129400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 20:00:00.000000 +00:00,103105.6900000000,103211.4400000000,102624.1100000000,102771.5400000000,280.0812927600,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 21:00:00.000000 +00:00,102771.5400000000,103058.5800000000,102422.4300000000,102591.8200000000,385.2346299400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 22:00:00.000000 +00:00,102591.8300000000,103107.2900000000,102457.3000000000,102958.7800000000,166.1912248300,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-11 23:00:00.000000 +00:00,102958.7800000000,103191.1900000000,102751.2700000000,103009.3500000000,194.8406795900,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-12 00:00:00.000000 +00:00,103017.2100000000,103315.2400000000,102774.9100000000,102832.0200000000,180.6837829800,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-12 01:00:00.000000 +00:00,102810.3700000000,103342.7400000000,102638.9700000000,103212.2500000000,224.2464055500,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-12 02:00:00.000000 +00:00,103212.2400000000,103371.8500000000,102889.6400000000,103114.0500000000,212.1448201300,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-12 03:00:00.000000 +00:00,103114.0600000000,103410.8900000000,103054.2000000000,103282.6200000000,171.7449114700,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-12 04:00:00.000000 +00:00,103282.6300000000,103426.3000000000,102985.5700000000,103216.0300000000,103.9566372400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-12 05:00:00.000000 +00:00,103216.0100000000,103450.1800000000,103200.4300000000,103373.0600000000,92.7114652300,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-12 06:00:00.000000 +00:00,103373.0600000000,103649.9700000000,103331.3300000000,103348.0000000000,123.8635024600,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-12 07:00:00.000000 +00:00,103342.1600000000,103534.1500000000,103050.0100000000,103102.5100000000,100.5188547600,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-12 08:00:00.000000 +00:00,103102.5100000000,104220.1300000000,103102.5100000000,104132.0200000000,194.7034380400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-12 09:00:00.000000 +00:00,104132.0200000000,105071.2200000000,104132.0200000000,104507.3200000000,273.3242266300,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-12 10:00:00.000000 +00:00,104507.3200000000,105029.7300000000,104497.4400000000,104877.9500000000,123.7942289300,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-12 11:00:00.000000 +00:00,104878.0400000000,105203.2200000000,104723.6000000000,105015.6000000000,106.8427911000,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-12 12:00:00.000000 +00:00,105015.6000000000,105316.6400000000,104805.1500000000,104986.4100000000,182.9441314400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
